N,rad_odd_M,num_goldbach,rho_min,rho_mean,rho_max,BW_goldbach
1794,897,66,6.058822,7.044273,7.259840,1.201019
1796,449,31,5.778313,6.639551,6.889829,1.111516
1798,899,27,6.268323,7.094281,7.260046,0.991723
1800,15,75,4.083336,4.881500,5.075135,0.991799
1802,901,31,6.312517,7.050397,7.260206,0.947690
1804,451,31,5.553029,6.687402,6.890134,1.337105
1806,903,72,6.058775,7.062258,7.260448,1.201673
1808,113,28,5.039158,5.907842,6.148764,1.109606
1810,905,36,6.462976,7.125934,7.260562,0.797586
1812,453,53,5.898488,6.702247,6.891116,0.992628
1814,907,28,5.922877,7.007025,7.260967,1.338090
1816,227,27,5.319811,6.330452,6.522009,1.202198
1818,303,53,5.562596,6.482611,6.675685,1.113089
1820,455,46,6.042990,6.687435,6.891704,0.848713
1822,911,27,6.267871,7.118983,7.261400,0.993530
1824,57,58,4.835052,5.606549,5.784325,0.949273
1826,913,33,5.922948,7.042552,7.261605,1.338657
1828,457,29,5.689550,6.708202,6.892353,1.202803
1830,915,76,6.147971,7.080343,7.261826,1.113855
1832,229,25,5.802490,6.333914,6.521119,0.718628
1834,917,34,5.922995,7.044276,7.261761,1.338766
1836,51,62,4.520274,5.542756,5.723730,1.203457
1838,919,28,6.147889,7.059012,7.262259,1.114370
1840,115,37,5.276026,6.001569,6.155890,0.879864
1842,921,54,6.267499,7.071030,7.261265,0.993765
1844,461,32,5.942893,6.725355,6.893798,0.950906
1846,923,28,6.461831,7.100704,7.261559,0.799729
1848,231,70,5.645058,6.365552,6.525576,0.880517
1850,185,38,5.067338,6.184967,6.406600,1.339262
1852,463,28,5.690098,6.716873,6.894435,1.204337
1854,309,54,5.563756,6.494284,6.679013,1.115258
1856,29,32,4.897225,5.252526,5.421227,0.524002
1858,929,29,6.267206,7.109592,7.263320,0.996114
1860,465,76,5.942975,6.728531,6.895101,0.952126
1862,133,34,5.505694,6.060072,6.227894,0.722200
1864,233,32,5.186803,6.326792,6.527136,1.340333
1866,933,53,6.058543,7.089337,7.263736,1.205192
1868,467,28,5.779510,6.700803,6.894777,1.115267
1870,935,43,5.923202,7.092807,7.263939,1.340737
1872,39,58,4.371378,5.401576,5.576824,1.205446
1874,937,30,5.923224,7.029833,7.264158,1.340934
1876,469,36,5.555367,6.698761,6.896369,1.341002
1878,939,61,6.058498,7.068694,7.264365,1.205867
1880,235,38,5.187729,6.290201,6.527964,1.340235
1882,941,33,5.923270,7.051736,7.264574,1.341305
1884,471,61,5.690814,6.656890,6.897009,1.206195
1886,943,30,6.147410,7.030531,7.264609,1.117200
1888,59,28,4.796432,5.607422,5.794651,0.998218
1890,105,91,5.101661,5.910654,6.100002,0.998341
1892,473,35,5.555871,6.661685,6.896458,1.340587
1894,947,32,6.058438,7.042823,7.265194,1.206755
1896,237,63,5.412608,6.348600,6.530486,1.117878
1898,949,33,6.410167,7.064613,7.264879,0.854713
1900,95,36,5.046474,5.857386,6.045523,0.999049
1902,951,55,6.310383,7.088393,7.265304,0.954921
1904,119,36,4.821951,5.948694,6.164199,1.342248
1906,953,30,6.058394,7.069347,7.265808,1.207414
1908,159,58,5.198397,6.120874,6.317063,1.118666
1910,955,36,5.923426,7.057915,7.265635,1.342210
1912,239,30,5.324485,6.315902,6.532162,1.207677
1914,957,66,6.147137,7.076102,7.266186,1.119049
1916,479,28,5.556617,6.697861,6.899036,1.342419
1918,959,35,6.058350,7.027274,7.266376,1.208027
1920,15,81,3.946635,4.879176,5.066061,1.119426
1922,31,30,4.805549,5.317540,5.448216,0.642668
1924,481,34,5.899387,6.697518,6.900058,1.000671
1926,321,58,5.728860,6.500665,6.685461,0.956601
1928,241,30,5.978806,6.385632,6.533636,0.554831
1930,965,39,6.380177,7.073136,7.266982,0.886805
1932,483,68,6.042813,6.736050,6.900507,0.857694
1934,967,28,5.923557,7.040541,7.267223,1.343666
1936,11,33,3.557230,4.653139,4.900921,1.343691
1938,969,65,6.058277,7.081134,7.267422,1.209145
1940,485,41,5.780649,6.714210,6.900553,1.119904
1942,971,30,6.265713,7.088679,7.267622,1.001909
1944,3,58,3.212134,4.021410,4.214171,1.002036
1946,973,34,6.309486,7.106059,7.267460,0.957973
1948,487,31,6.013693,6.711551,6.901879,0.888185
1950,195,83,5.529881,6.254933,6.418199,0.888318
1952,61,29,4.459892,5.598838,5.803455,1.343563
1954,977,35,5.923665,7.021626,7.268218,1.344553
1956,489,53,5.692370,6.709539,6.902210,1.209839
1958,979,27,6.146717,7.099274,7.268376,1.121658
1960,35,48,4.507147,5.324203,5.510254,1.003108
1962,327,56,5.685758,6.500735,6.688974,1.003215
1964,491,26,5.943482,6.708725,6.903004,0.959522
1966,983,29,6.379293,7.112258,7.268809,0.889515
1968,123,62,5.282605,6.001607,6.172253,0.889648
1970,985,38,6.408251,7.105373,7.268378,0.860127
1972,493,32,6.092575,6.726431,6.903358,0.810783
1974,987,71,6.457966,7.106629,7.269196,0.811230
1976,247,33,5.193080,6.354341,6.538476,1.345396
1978,989,32,6.058134,7.054823,7.268919,1.210786
1980,165,82,5.202344,6.163721,6.325311,1.122967
1982,991,30,5.923814,7.076568,7.269589,1.345775
1984,31,32,4.232328,5.222193,5.443784,1.211456
1986,993,58,6.146456,7.086251,7.269715,1.123259
1988,497,30,6.215814,6.773443,6.904818,0.689003
1990,995,42,5.923856,7.057705,7.269890,1.346034
1992,249,59,5.328157,6.352449,6.540101,1.211944
1994,997,27,6.146382,7.079960,7.270170,1.123787
1996,499,28,5.559020,6.661867,6.905339,1.346319
1998,111,56,4.901614,5.933423,6.113785,1.212171
2000,5,37,3.135651,4.283097,4.482180,1.346529
2002,1001,44,5.923919,7.053363,7.270469,1.346550
2004,501,59,5.693367,6.683651,6.905943,1.212576
2006,1003,35,5.923939,7.047193,7.270736,1.346797
2008,251,28,5.328870,6.314563,6.541492,1.212622
2010,1005,84,6.146236,7.076466,7.270920,1.124684
2012,503,27,5.943703,6.697932,6.906489,0.962786
2014,1007,35,5.923981,7.030001,7.270978,1.346997
2016,21,73,4.022902,5.029709,5.236092,1.213190
2018,1009,28,6.146163,7.054029,7.271317,1.125154
2020,505,41,5.559717,6.683166,6.906726,1.347008
2022,1011,59,6.057980,7.071281,7.271506,1.213525
